leng,pos,neg,rating
27,3,1,5
211,5,2,4
67,4,2,4
36,3,0,5
396,11,5,4
47,6,0,5
68,6,2,4
155,15,3,5
52,3,2,5
101,2,0,3
73,2,2,5
219,5,5,5
167,7,1,5
116,4,3,5
60,4,0,4
104,9,0,5
32,4,2,3
57,3,1,5
83,10,2,5
264,8,2,5
32,4,1,5
79,3,4,4
26,6,0,5
192,15,3,3
33,3,0,5
27,4,0,5
58,5,0,5
60,2,2,4
73,2,3,5
393,20,9,5
49,3,0,2
41,6,0,5
65,1,1,5
30,2,0,5
208,4,6,5
394,14,10,4
173,8,4,5
106,6,1,5
64,4,1,3
101,4,3,4
42,0,1,4
559,17,6,4
308,5,1,5
122,8,0,5
29,3,1,5
64,1,1,5
92,6,0,5
186,8,8,5
386,21,4,4
44,2,1,4
44,2,0,5
70,4,1,5
39,3,2,5
33,1,0,3
107,3,1,5
214,10,8,3
38,4,2,5
131,8,0,5
96,6,3,4
213,4,3,4
31,4,0,5
45,2,0,5
26,2,1,5
28,3,0,5
33,4,0,5
63,4,2,4
28,5,0,5
116,4,2,5
226,10,1,5
91,6,0,5
288,15,5,4
87,8,2,2
31,1,1,5
58,2,3,1
1547,50,21,5
549,22,8,5
24,4,1,5
22,4,0,5
409,12,5,4
30,7,0,5
75,2,2,3
24,2,1,5
35,1,0,5
44,2,2,5
26,3,0,5
44,3,0,5
42,2,1,5
165,8,4,5
62,6,0,4
60,1,2,5
48,3,0,5
77,3,0,5
51,4,2,3
73,4,2,3
54,3,1,4
33,1,0,5
46,2,2,5
25,4,0,4
49,4,0,5
37,2,4,2
369,18,8,4
47,0,0,5
106,8,1,5
31,3,0,5
231,13,12,5
28,1,0,4
119,6,4,5
24,3,0,5
24,4,1,4
122,4,4,4
55,4,0,4
158,11,3,5
71,7,0,4
39,1,1,3
33,2,0,5
123,7,2,5
57,4,0,5
81,2,1,5
75,3,0,5
163,10,1,5
45,0,0,5
35,2,0,5
102,3,1,4
281,16,4,4
125,5,4,5
299,10,4,5
140,7,2,5
69,6,3,5
42,2,0,4
124,6,3,5
66,4,3,1
665,29,4,5
71,3,1,4
226,5,2,5
7,1,0,5
37,1,0,3
21,1,1,5
29,4,1,4
91,6,2,5
64,2,2,4
40,1,0,5
345,9,2,5
74,7,1,3
26,2,1,5
270,12,2,5
93,6,3,5
28,2,0,5
62,4,0,5
63,3,0,5
49,1,3,1
36,5,2,5
172,10,3,5
134,7,0,5
209,14,4,5
30,1,2,5
60,6,0,5
43,1,1,1
40,1,2,1
38,2,0,5
52,4,0,4
120,6,1,5
46,2,3,5
240,8,3,5
106,8,4,5
224,7,6,4
57,4,3,5
67,3,2,5
54,1,4,1
50,4,0,5
50,3,0,4
49,3,0,5
28,3,0,5
235,10,4,4
69,4,1,4
26,3,0,5
32,1,0,5
42,4,1,4
84,1,4,1
169,6,0,3
94,5,0,5
43,4,0,4
24,4,1,5
23,3,0,5
32,0,0,5
440,17,3,4
33,1,4,2
25,1,0,5
23,4,0,4
33,1,1,5
71,4,0,5
165,9,1,5
165,11,4,5
27,1,1,4
200,5,3,4
38,3,0,5
32,3,3,4
85,1,3,3
361,15,3,5
191,10,6,5
79,7,3,5
47,4,1,5
95,5,1,5
71,2,1,5
30,2,0,3
58,1,0,3
132,9,2,5
151,4,3,2
57,5,2,5
29,1,0,5
35,3,0,5
118,9,4,5
26,3,1,5
167,11,2,5
56,4,0,5
48,4,0,3
87,7,2,5
58,3,0,5
214,16,2,4
23,4,1,5
32,5,0,5
43,3,0,4
47,1,0,5
38,1,2,1
300,11,4,5
23,1,0,5
175,8,0,5
91,4,0,4
132,10,0,5
67,6,0,4
124,12,5,5
31,2,0,5
98,7,0,3
77,7,3,5
59,3,2,4
61,7,1,5
144,3,0,5
245,8,6,4
34,4,0,5
206,13,5,4
53,5,1,3
31,3,0,5
33,3,0,4
28,1,1,5
31,0,0,5
25,4,0,5
24,4,0,5
211,6,6,4
298,3,5,2
215,6,10,5
26,5,0,5
66,5,1,5
36,2,4,5
52,4,2,5
308,1,10,4
49,6,0,5
32,3,1,5
338,20,6,5
63,9,1,5
92,4,2,5
26,3,0,5
181,3,2,4
73,4,2,5
23,4,0,5
27,5,1,5
137,6,3,5
100,8,1,5
26,4,0,5
55,4,1,5
29,3,1,5
57,5,3,5
134,6,1,4
256,13,8,5
124,6,0,5
165,10,3,5
66,5,2,5
133,15,0,5
141,6,4,5
540,20,9,3
48,3,0,5
55,3,2,4
241,17,3,5
44,3,2,5
246,5,10,5
27,2,0,5
71,4,4,4
21,2,0,5
177,9,3,5
141,6,1,4
153,5,1,5
45,4,1,4
29,5,0,5
42,3,2,1
130,2,4,1
87,3,1,4
70,4,2,4
23,3,1,3
434,18,6,5
159,4,5,1
89,5,5,4
29,3,1,5
43,2,2,5
132,3,5,4
73,2,1,4
160,16,4,3
24,3,0,4
58,3,4,5
33,4,1,5
45,3,0,5
25,2,0,5
70,0,1,5
121,4,1,3
115,3,0,5
85,6,4,4
160,11,3,5
236,6,3,5
69,7,3,5
28,1,0,5
54,4,1,5
73,3,0,5
48,1,0,4
74,5,2,3
29,4,0,5
77,5,1,5
48,6,0,3
176,4,4,1
28,6,0,5
66,5,0,5
96,11,1,5
209,8,2,5
101,2,1,4
47,2,0,4
39,6,0,5
186,14,4,5
23,2,0,4
36,1,0,5
25,2,0,5
105,3,0,5
70,4,3,5
50,3,0,5
84,2,0,5
307,10,3,5
39,1,1,2
208,6,2,4
32,2,0,5
35,3,0,5
33,2,0,4
180,4,2,4
99,5,0,5
300,10,13,2
24,4,0,5
62,3,0,4
97,2,3,3
56,4,1,5
104,5,1,4
40,1,3,5
77,7,1,2
21,4,0,5
29,1,0,5
54,6,0,5
73,2,1,5
32,2,0,4
23,2,0,5
106,3,2,5
133,6,1,4
40,2,0,5
109,2,2,5
25,1,2,5
57,9,0,5
104,6,1,2
343,6,2,5
47,4,2,5
26,2,0,5
62,3,5,2
49,7,0,4
31,4,1,5
47,4,1,3
75,2,2,5
910,28,51,1
43,3,0,5
46,4,0,5
36,3,0,5
117,8,5,4
31,2,0,5
28,4,0,5
22,4,0,5
37,3,0,5
53,2,2,2
62,9,2,4
143,8,2,5
26,4,0,5
67,6,2,5
52,5,2,4
1423,46,24,5
76,5,5,3
34,1,1,5
50,5,0,5
62,4,2,4
98,12,2,5
24,1,0,4
95,6,2,5
129,11,2,5
139,2,2,3
174,5,3,5
38,1,3,3
42,6,1,5
62,5,1,5
148,2,1,4
70,7,0,4
32,0,3,1
25,4,0,5
194,8,4,5
97,2,1,5
1018,23,15,5
72,3,3,5
28,4,0,4
150,5,1,5
62,4,1,5
141,3,4,5
79,7,3,5
52,2,3,4
31,0,1,4
44,4,0,5
38,3,0,4
33,5,0,5
32,2,0,5
82,8,0,5
129,9,0,5
238,10,3,5
26,2,1,5
102,6,4,4
38,4,1,3
26,3,0,4
53,4,2,5
107,2,0,5
166,8,4,5
86,4,1,5
26,4,0,5
41,3,0,5
46,3,0,5
27,3,0,5
189,8,3,5
146,11,2,5
38,1,1,5
102,3,1,5
285,8,8,5
144,11,1,5
199,11,1,5
28,2,0,5
97,6,4,5
144,6,0,5
22,2,0,5
348,13,7,5
388,17,7,5
56,0,3,5
166,5,1,4
293,12,11,5
125,3,4,4
65,8,1,5
56,4,0,5
122,3,2,5
39,1,0,5
452,17,11,5
208,16,3,5
210,9,8,5
72,8,0,5
68,5,0,5
144,9,3,5
54,5,0,5
114,5,1,5
59,3,2,5
84,4,1,3
146,10,1,5
39,3,0,4
78,3,0,5
34,1,0,5
30,3,0,5
67,4,0,5
211,14,5,4
133,3,1,5
32,2,0,5
152,9,9,5
57,2,3,5
46,5,1,5
23,4,1,4
44,2,3,5
27,1,0,5
83,5,1,4
26,1,0,5
180,5,4,4
23,1,0,4
109,4,3,2
278,2,5,2
190,7,2,4
196,13,2,4
154,4,2,1
206,9,2,5
34,2,0,5
22,3,0,5
242,8,2,1
132,8,3,3
180,12,0,5
95,6,1,3
113,6,1,5
304,16,2,5
70,2,4,5
44,5,0,5
106,5,1,5
71,5,3,5
66,0,5,1
25,1,0,3
249,8,4,4
33,1,0,5
38,1,2,4
71,1,2,5
55,4,0,5
42,3,2,5
110,2,3,5
43,3,0,5
97,9,3,5
84,5,2,3
51,0,0,4
59,3,0,5
34,4,0,5
220,3,7,2
26,3,0,4
50,2,3,4
29,4,2,5
380,23,11,4
79,3,1,4
25,4,0,5
591,15,18,5
139,3,4,3
62,4,0,5
30,3,0,5
333,20,8,5
25,1,3,4
53,5,2,5
203,16,3,5
56,2,1,4
58,4,1,4
64,4,0,5
94,9,1,5
27,4,0,5
30,4,0,5
66,4,3,5
160,6,1,5
24,2,1,5
29,1,1,5
59,3,2,3
83,5,2,5
24,4,0,5
34,5,0,5
24,2,0,5
44,1,1,5
55,3,0,5
248,18,5,5
28,2,2,2
98,9,0,5
128,6,3,5
102,4,2,5
191,9,1,4
42,0,0,3
39,6,0,5
26,4,0,5
32,4,1,5
781,33,16,5
23,1,3,5
47,2,1,5
22,3,0,5
109,1,2,4
48,0,0,1
248,13,5,5
329,13,5,4
32,4,0,4
96,6,2,3
63,5,0,5
30,1,0,3
59,5,0,5
65,2,1,5
126,5,3,4
507,27,11,4
35,2,0,5
438,21,2,3
170,7,2,4
416,11,9,5
70,4,0,5
76,1,1,5
76,13,1,5
25,1,0,5
24,4,0,5
73,4,1,5
31,3,1,4
142,10,3,4
414,21,6,5
46,7,1,5
317,16,2,5
86,6,1,5
27,3,0,5
143,4,2,5
27,2,0,5
45,3,0,2
73,3,0,5
89,5,1,5
50,2,1,2
26,3,0,5
36,4,2,5
80,3,1,5
56,1,2,5
383,19,7,2
136,4,2,5
146,6,2,5
109,7,3,4
276,12,6,5
92,3,2,5
125,6,5,4
488,24,2,5
47,6,0,5
90,9,4,5
73,4,3,5
122,6,1,5
184,4,3,3
112,3,6,5
125,7,2,5
16,0,0,2
31,6,0,5
102,9,1,5
131,10,0,4
30,2,0,5
37,4,0,4
39,2,0,5
60,5,1,5
321,13,8,5
22,3,0,5
59,5,1,5
60,5,0,5
204,7,4,4
28,4,0,4
71,7,0,5
56,0,2,5
36,2,4,5
287,16,0,4
300,7,1,5
30,2,0,5
72,4,0,4
96,4,1,5
21,3,0,3
85,2,0,4
102,5,6,4
44,5,0,3
126,4,7,3
24,3,0,4
79,9,0,3
27,3,0,5
22,2,0,5
50,1,0,5
22,1,0,5
257,14,5,5
130,2,2,5
25,2,0,4
184,21,0,5
27,1,1,4
122,8,1,4
112,7,2,3
191,5,6,4
26,2,0,5
114,4,6,3
47,6,1,5
162,8,3,5
27,1,0,5
23,2,0,4
132,6,2,5
35,2,1,5
24,3,1,4
286,9,6,3
72,1,1,3
57,3,0,5
154,3,4,3
25,1,0,4
122,9,2,4
37,2,0,5
71,6,2,5
58,3,2,5
37,0,0,4
44,2,2,5
60,6,1,5
96,3,1,5
132,11,0,5
180,12,3,5
60,4,0,5
27,1,1,4
123,5,2,2
61,2,0,5
153,8,1,5
33,2,0,5
76,6,3,5
61,5,0,5
261,14,9,5
39,4,0,5
30,3,1,3
28,1,0,5
62,3,0,4
675,23,17,5
32,3,2,5
245,4,5,5
40,2,0,5
641,23,8,5
260,8,2,5
96,6,0,4
59,3,0,2
39,1,0,5
33,2,1,5
53,8,0,5
677,44,17,4
437,14,13,3
43,0,0,5
46,6,0,4
175,8,5,5
189,9,1,5
52,4,1,4
25,3,0,5
30,4,0,5
33,3,1,5
54,3,0,4
22,0,0,5
345,14,15,5
36,4,1,5
77,5,0,5
212,10,3,5
25,2,0,5
71,4,0,5
187,8,1,5
60,4,2,5
155,6,4,5
57,8,0,5
161,5,6,5
87,5,1,5
37,3,0,5
200,2,5,5
122,5,1,4
288,8,5,5
27,3,1,5
25,0,1,5
52,3,0,5
24,0,2,5
22,1,0,5
47,5,2,5
147,8,3,5
28,0,1,5
115,9,3,5
55,4,0,5
121,14,3,5
26,6,0,5
140,6,0,4
35,3,1,5
23,3,0,5
196,5,8,5
26,4,0,5
26,1,0,5
69,1,1,5
123,8,4,5
23,2,0,5
151,4,2,1
39,1,1,5
25,2,0,5
25,4,0,5
65,6,1,5
47,2,2,5
48,5,1,5
32,4,1,5
73,5,3,2
50,3,1,5
120,7,2,4
207,3,2,5
27,3,0,5
37,2,2,4
44,3,0,5
31,3,0,3
34,1,1,5
24,5,0,5
38,7,0,5
119,4,2,4
139,8,1,5
122,10,2,5
51,6,1,5
24,4,0,5
24,4,0,5
23,3,0,4
52,5,3,5
61,5,0,5
203,9,4,5
34,2,0,5
41,5,0,5
281,9,8,5
63,4,2,5
241,10,5,5
72,9,1,5
406,26,14,5
52,3,3,5
92,6,2,5
39,2,2,5
29,2,0,5
64,5,5,5
130,8,1,2
29,3,0,5
65,2,3,1
25,4,0,5
29,3,1,5
66,1,2,2
54,7,0,4
243,10,3,5
87,4,3,5
47,1,0,5
49,2,1,4
40,2,0,5
28,1,1,5
74,6,1,5
156,6,3,5
22,1,1,4
37,5,0,5
53,3,2,5
27,7,0,5
65,2,2,2
172,3,7,5
24,2,1,5
21,4,0,5
123,7,2,4
127,9,2,5
184,10,3,5
27,1,2,3
23,2,0,4
40,1,2,5
5,1,0,5
44,3,2,5
31,2,0,5
142,7,4,4
81,5,3,4
28,2,0,5
49,4,0,4
23,2,0,3
38,7,1,5
31,3,0,5
93,7,2,5
92,7,2,5
223,15,2,5
96,7,2,5
38,2,1,5
49,4,0,5
33,8,2,5
36,2,1,5
27,3,1,4
27,3,0,5
268,14,3,5
42,1,1,5
240,10,2,4
35,2,4,5
28,2,0,5
52,5,1,3
32,4,1,4
129,2,6,5
65,5,3,5
68,5,0,4
112,6,1,5
50,4,1,5
447,8,10,5
121,4,2,5
94,7,3,5
56,5,1,5
44,1,2,5
50,6,0,5
27,3,0,5
42,5,1,4
90,3,3,2
52,3,1,5
44,4,0,5
77,5,1,5
59,5,1,5
21,2,1,5
62,3,1,5
71,4,1,5
167,8,2,5
444,21,17,5
83,4,0,5
121,4,1,5
194,7,3,5
60,4,0,5
102,3,1,5
20,3,2,4
53,5,1,5
32,1,0,5
47,7,0,5
95,2,2,5
58,3,1,4
26,2,1,3
153,6,1,5
290,17,2,5
59,1,2,5
80,3,0,3
141,6,4,4
101,5,4,5
99,4,0,5
22,4,1,5
30,3,0,5
109,6,3,4
27,1,0,5
878,54,10,4
82,6,1,5
145,5,8,4
40,0,1,4
37,2,1,5
24,5,1,5
60,5,3,5
193,13,5,5
25,3,0,5
29,3,1,5
81,2,1,1
65,5,0,5
90,7,4,4
83,3,0,5
83,6,2,4
82,10,1,5
400,18,4,5
33,2,0,5
487,23,5,5
386,19,12,5
469,19,13,4
25,2,0,5
29,3,1,5
75,5,1,5
26,0,2,3
59,8,0,5
30,4,1,5
153,11,5,5
15,0,0,5
31,2,0,5
163,4,6,5
27,3,0,5
97,6,4,4
31,3,0,4
38,4,1,4
61,3,2,4
48,5,0,4
59,5,0,5
79,5,1,5
547,23,14,4
75,3,4,5
62,4,0,5
237,14,5,5
60,5,1,4
1002,52,23,5
27,3,0,5
46,3,0,5
129,13,3,5
462,25,8,4
51,4,0,5
47,4,0,5
42,2,0,5
56,3,2,4
153,7,8,5
32,2,1,5
47,3,1,5
72,3,3,2
18,2,0,5
70,6,2,5
25,3,0,5
72,10,1,5
24,2,0,5
31,1,0,5
20,1,0,5
389,16,6,2
49,3,4,5
12,4,1,5
22,0,0,5
54,2,0,4
25,3,0,5
213,1,8,5
29,0,1,1
366,14,10,5
31,2,0,5
73,4,5,5
23,3,0,5
27,0,1,4
32,1,0,5
55,2,4,5
71,5,2,2
41,1,2,3
196,11,3,2
30,2,0,5
51,3,0,5
24,4,0,5
291,17,2,4
274,15,2,5
33,4,0,5
130,6,2,5
24,2,0,5
85,1,2,3
24,2,1,5
45,3,2,5
37,3,0,4
43,5,0,4
143,2,4,5
30,4,0,5
33,2,1,5
656,19,10,5
27,0,1,5
161,14,3,5
74,6,1,5
24,2,0,4
99,3,2,4
29,2,0,5
39,3,1,5
57,4,0,5
29,3,0,5
437,28,13,5
91,9,2,5
71,4,1,5
64,2,2,5
91,3,1,5
370,16,6,5
71,1,3,4
30,4,0,4
43,4,1,5
37,4,0,5
32,2,0,5
45,1,1,3
459,28,6,5
1123,38,23,2
40,2,1,5
24,0,1,5
96,3,1,5
39,2,1,5
31,5,0,4
153,2,4,5
92,5,2,1
22,0,0,5
35,4,0,5
27,3,0,5
100,4,3,2
24,2,0,5
90,8,2,4
24,3,0,5
43,2,2,1
42,4,0,5
166,10,5,5
115,6,2,5
58,2,2,3
141,12,1,5
42,4,3,5
211,12,1,5
181,8,2,4
27,1,1,5
23,0,1,4
34,2,0,5
35,1,1,3
72,4,1,5
335,17,5,3
129,10,3,5
51,3,1,2
80,5,3,5
99,4,0,5
180,6,3,5
45,8,0,5
145,1,6,2
23,0,0,5
156,8,4,5
277,9,1,5
23,1,1,4
111,5,1,4
47,7,0,4
69,5,1,5
182,5,1,3
93,3,1,5
188,18,2,5
71,2,2,2
157,2,4,3
56,5,0,5
149,5,1,4
35,3,1,4
469,15,9,4
52,7,1,4
28,4,0,5
127,8,4,5
161,13,1,5
32,2,0,5
134,7,1,5
66,5,1,5
23,2,0,4
20,3,0,4
49,3,1,5
69,6,0,5
44,3,1,5
43,3,2,4
79,6,1,5
38,3,0,4
55,4,1,5
78,4,0,3
32,2,0,4
100,10,1,5
31,2,1,5
71,0,1,3
199,7,8,4
131,7,3,4
148,6,2,2
37,0,3,5
71,2,0,4
283,16,8,5
216,10,6,4
98,5,3,5
63,5,2,5
109,9,3,4
41,2,2,4
130,4,6,5
68,7,0,5
182,9,6,4
22,1,0,5
28,6,1,5
37,0,2,5
29,0,0,5
264,17,1,5
25,1,0,4
28,4,0,5
26,2,3,5
30,2,1,5
44,0,3,4
41,5,1,4
46,2,1,5
23,3,0,5
67,3,1,4
39,4,0,4
115,3,3,5
132,4,4,5
74,3,5,5
321,18,5,5
41,1,1,3
67,7,1,5
90,7,1,5
48,3,2,5
47,3,0,5
25,1,3,1
92,5,2,5
73,4,1,5
167,9,4,5
27,2,1,5
21,1,0,5
246,12,7,1
22,0,1,4
83,5,0,5
61,3,0,5
75,3,2,5
424,8,4,4
26,2,0,5
68,0,1,5
90,5,0,4
40,4,1,5
29,7,1,5
73,3,1,3
25,4,0,5
121,9,0,5
39,2,3,5
69,9,2,4
23,3,0,5
102,3,2,4
26,5,1,5
24,3,1,5
24,2,0,5
295,11,4,4
136,12,2,5
70,6,0,5
62,8,2,5
27,5,0,5
553,24,10,5
51,4,0,5
21,1,0,5
80,3,1,5
53,3,1,3
41,0,2,5
133,2,2,4
89,3,0,5
674,15,16,5
230,19,4,5
112,7,3,4
33,5,0,5
80,3,2,1
79,5,1,5
139,6,5,4
68,2,1,5
27,2,0,4
35,3,1,5
71,3,2,2
175,7,3,5
32,2,1,4
29,4,0,5
118,9,2,4
53,3,1,4
27,3,0,5
311,17,12,4
29,2,1,4
28,2,0,5
47,2,0,4
27,7,0,5
357,19,6,2
56,4,1,5
37,3,1,5
84,5,3,3
106,6,2,4
232,15,4,5
24,3,1,5
24,1,0,4
148,5,1,1
59,2,2,5
33,0,0,5
77,4,1,5
50,0,2,3
222,7,4,3
77,4,4,4
177,5,5,5
136,5,2,5
2,2,0,5
80,3,0,5
58,2,2,3
185,3,5,2
36,1,2,4
207,10,5,5
75,3,4,5
36,5,0,3
259,16,1,5
85,8,0,5
107,6,5,3
30,1,0,5
93,4,2,2
32,4,1,5
61,6,3,5
126,9,0,5
89,4,1,4
417,13,16,4
121,3,1,5
52,3,0,5
1892,67,32,5
31,5,0,5
49,0,1,5
70,9,1,5
50,2,0,5
50,3,1,5
84,10,0,5
210,14,5,5
59,3,1,5
26,4,0,5
36,3,0,5
24,2,1,4
302,12,5,5
38,1,0,5
50,2,0,4
51,3,0,5
68,4,0,4
31,2,0,5
28,1,0,3
25,4,0,4
37,4,0,5
26,5,0,5
22,2,0,5
241,14,3,4
49,8,0,5
141,10,5,5
30,4,1,3
28,2,0,5
65,3,3,4
180,11,4,5
26,1,0,4
24,2,0,5
359,12,1,4
346,9,8,5
59,2,2,5
43,3,0,5
5,1,0,5
75,7,1,5
23,1,1,5
43,1,2,5
235,1,5,3
31,1,0,5
227,7,2,5
20,3,0,5
64,5,2,5
26,3,1,5
50,9,0,5
121,6,2,4
34,3,1,5
25,2,1,5
68,2,4,2
616,17,9,5
81,3,2,5
86,6,2,5
99,3,1,5
28,2,1,5
38,3,1,5
40,6,0,5
93,4,2,2
86,6,0,3
44,0,1,2
25,4,2,5
30,2,0,5
44,3,0,5
96,2,2,5
1340,73,27,5
31,0,1,2
22,2,1,5
37,4,0,4
29,0,0,5
118,3,2,5
28,1,0,5
261,11,1,5
24,3,0,5
81,5,1,5
122,6,0,5
24,1,1,5
66,3,1,5
31,2,1,5
39,3,0,5
53,1,3,3
69,2,1,5
46,5,0,5
37,3,1,2
18,0,0,5
90,1,2,4
52,4,0,5
32,0,0,4
62,1,3,4
59,0,1,5
97,6,2,5
87,8,0,5
47,3,0,5
118,5,1,5
26,4,0,5
313,22,3,5
33,1,1,4
124,7,2,5
55,1,1,1
38,1,0,5
37,1,0,5
74,4,0,5
35,2,0,5
234,4,5,1
25,3,1,5
54,1,3,5
37,4,0,5
95,6,3,5
48,2,0,4
132,3,2,3
36,4,2,5
75,3,2,5
260,18,3,5
857,26,12,3
207,10,2,5
713,24,16,1
101,4,1,5
35,1,0,5
34,2,0,5
76,4,2,4
27,0,0,5
45,6,1,5
156,4,7,5
69,4,2,4
31,3,1,4
24,0,0,5
125,10,2,4
28,3,0,4
29,0,0,5
37,0,1,5
49,4,0,4
62,4,0,5
38,2,1,5
342,21,9,5
416,13,10,5
170,3,4,2
50,5,1,5
138,4,2,5
58,1,1,5
85,5,2,5
20,3,0,5
37,4,2,2
35,3,1,3
27,2,0,5
85,2,0,5
342,17,12,5
226,9,6,3
61,6,0,4
30,4,2,5
48,2,0,5
52,1,4,1
70,10,2,5
30,3,1,5
160,12,7,5
60,5,0,5
26,4,0,5
159,6,2,4
62,2,0,5
68,3,2,5
89,4,1,5
48,6,0,5
33,3,0,4
64,4,1,2
275,8,1,5
31,5,0,5
49,1,2,4
49,5,0,5
50,2,0,3
52,3,1,3
208,4,12,4
208,6,3,5
36,3,0,5
55,2,2,5
77,2,2,3
85,4,1,5
117,6,2,5
31,1,0,5
28,4,0,4
58,4,0,5
25,3,0,5
25,2,0,5
88,4,3,5
41,2,0,5
194,7,4,5
64,1,0,4
57,6,1,5
188,8,6,4
33,1,0,5
33,1,0,5
136,10,3,4
64,4,1,5
75,5,0,3
48,3,0,5
223,8,7,5
187,7,2,5
29,5,0,5
167,4,0,5
31,4,0,5
60,2,0,4
38,0,0,5
76,6,1,5
154,15,4,5
25,0,1,3
98,6,0,4
108,1,2,2
24,1,0,5
23,4,0,5
400,21,13,3
55,3,2,4
95,3,3,3
33,2,1,5
160,4,4,5
30,2,0,5
